"id","is_oreb","team","opponent","conference","opp_conference"
"176-53",0,"Auburn","Texas A&M","SEC","SEC"
"176-54",1,"Texas A&M","Auburn","SEC","SEC"
"176-55",0,"Texas A&M","Auburn","SEC","SEC"
"176-56",0,"Auburn","Texas A&M","SEC","SEC"
"177-1",0,"Florida","Alabama","SEC","SEC"
"177-4",0,"Alabama","Florida","SEC","SEC"
"177-5",0,"Florida","Alabama","SEC","SEC"
"177-6",0,"Alabama","Florida","SEC","SEC"
"177-8",0,"Alabama","Florida","SEC","SEC"
"177-9",1,"Florida","Alabama","SEC","SEC"
"177-12",1,"Alabama","Florida","SEC","SEC"
"177-13",0,"Florida","Alabama","SEC","SEC"
"177-14",0,"Florida","Alabama","SEC","SEC"
"177-16",0,"Alabama","Florida","SEC","SEC"
"177-17",1,"Alabama","Florida","SEC","SEC"
"177-18",1,"Florida","Alabama","SEC","SEC"
"177-19",0,"Florida","Alabama","SEC","SEC"
"177-20",0,"Florida","Alabama","SEC","SEC"
"177-21",1,"Florida","Alabama","SEC","SEC"
"177-23",0,"Alabama","Florida","SEC","SEC"
"177-24",0,"Florida","Alabama","SEC","SEC"
"177-25",0,"Florida","Alabama","SEC","SEC"
"177-26",1,"Florida","Alabama","SEC","SEC"
"177-27",0,"Florida","Alabama","SEC","SEC"
"177-28",0,"Alabama","Florida","SEC","SEC"
"177-29",1,"Florida","Alabama","SEC","SEC"
"177-30",0,"Florida","Alabama","SEC","SEC"
"177-32",1,"Florida","Alabama","SEC","SEC"
"177-33",0,"Alabama","Florida","SEC","SEC"
"177-34",1,"Alabama","Florida","SEC","SEC"
"177-39",0,"Alabama","Florida","SEC","SEC"
"177-42",1,"Florida","Alabama","SEC","SEC"
"177-44",0,"Florida","Alabama","SEC","SEC"
"177-45",0,"Alabama","Florida","SEC","SEC"
"177-46",1,"Florida","Alabama","SEC","SEC"
"177-49",1,"Alabama","Florida","SEC","SEC"
"177-50",0,"Florida","Alabama","SEC","SEC"
"177-51",0,"Alabama","Florida","SEC","SEC"
"177-54",0,"Florida","Alabama","SEC","SEC"
"177-56",1,"Alabama","Florida","SEC","SEC"
"177-57",0,"Florida","Alabama","SEC","SEC"
"177-58",0,"Florida","Alabama","SEC","SEC"
"177-59",0,"Alabama","Florida","SEC","SEC"
"177-60",0,"Florida","Alabama","SEC","SEC"
"177-61",0,"Florida","Alabama","SEC","SEC"
"177-62",0,"Alabama","Florida","SEC","SEC"
"177-63",0,"Alabama","Florida","SEC","SEC"
"177-68",0,"Alabama","Florida","SEC","SEC"
"178-1",0,"Seton Hall","Creighton","BigEast","BigEast"
"178-2",0,"Creighton","Seton Hall","BigEast","BigEast"
"178-3",0,"Seton Hall","Creighton","BigEast","BigEast"
"178-5",1,"Creighton","Seton Hall","BigEast","BigEast"
"178-6",0,"Seton Hall","Creighton","BigEast","BigEast"
"178-7",1,"Seton Hall","Creighton","BigEast","BigEast"
"178-10",0,"Seton Hall","Creighton","BigEast","BigEast"
"178-11",0,"Seton Hall","Creighton","BigEast","BigEast"
"178-13",0,"Seton Hall","Creighton","BigEast","BigEast"
"178-15",0,"Creighton","Seton Hall","BigEast","BigEast"
"178-18",1,"Creighton","Seton Hall","BigEast","BigEast"
"178-19",1,"Creighton","Seton Hall","BigEast","BigEast"
"178-20",0,"Seton Hall","Creighton","BigEast","BigEast"
"178-21",0,"Seton Hall","Creighton","BigEast","BigEast"
"178-22",1,"Creighton","Seton Hall","BigEast","BigEast"
"178-23",1,"Creighton","Seton Hall","BigEast","BigEast"
"178-24",0,"Seton Hall","Creighton","BigEast","BigEast"
"178-26",1,"Seton Hall","Creighton","BigEast","BigEast"
"178-33",0,"Creighton","Seton Hall","BigEast","BigEast"
"178-34",0,"Creighton","Seton Hall","BigEast","BigEast"
"178-35",0,"Seton Hall","Creighton","BigEast","BigEast"
"178-36",0,"Seton Hall","Creighton","BigEast","BigEast"
"178-39",0,"Seton Hall","Creighton","BigEast","BigEast"
"178-40",0,"Seton Hall","Creighton","BigEast","BigEast"
"179-1",0,"UNLV","Wyoming","MWC","MWC"
"179-3",0,"Wyoming","UNLV","MWC","MWC"
"179-4",0,"UNLV","Wyoming","MWC","MWC"
"179-5",0,"Wyoming","UNLV","MWC","MWC"
"179-7",0,"UNLV","Wyoming","MWC","MWC"
"179-8",0,"Wyoming","UNLV","MWC","MWC"
"179-9",1,"UNLV","Wyoming","MWC","MWC"
"179-10",0,"UNLV","Wyoming","MWC","MWC"
"179-11",0,"UNLV","Wyoming","MWC","MWC"
"179-12",0,"Wyoming","UNLV","MWC","MWC"
"179-13",0,"Wyoming","UNLV","MWC","MWC"
"179-14",0,"UNLV","Wyoming","MWC","MWC"
"179-16",0,"Wyoming","UNLV","MWC","MWC"
"179-17",0,"Wyoming","UNLV","MWC","MWC"
"179-18",0,"UNLV","Wyoming","MWC","MWC"
"179-19",1,"Wyoming","UNLV","MWC","MWC"
"179-20",0,"Wyoming","UNLV","MWC","MWC"
"179-21",0,"Wyoming","UNLV","MWC","MWC"
"179-23",0,"UNLV","Wyoming","MWC","MWC"
"179-24",0,"Wyoming","UNLV","MWC","MWC"
"179-26",0,"UNLV","Wyoming","MWC","MWC"
"179-28",0,"UNLV","Wyoming","MWC","MWC"
"179-29",0,"UNLV","Wyoming","MWC","MWC"
"179-31",0,"UNLV","Wyoming","MWC","MWC"
"179-32",0,"Wyoming","UNLV","MWC","MWC"
"179-33",1,"UNLV","Wyoming","MWC","MWC"
"179-34",0,"UNLV","Wyoming","MWC","MWC"
"179-36",0,"UNLV","Wyoming","MWC","MWC"
"179-37",0,"UNLV","Wyoming","MWC","MWC"
"179-38",1,"UNLV","Wyoming","MWC","MWC"
"179-39",0,"UNLV","Wyoming","MWC","MWC"
"179-43",1,"Wyoming","UNLV","MWC","MWC"
"179-44",0,"Wyoming","UNLV","MWC","MWC"
"179-46",0,"UNLV","Wyoming","MWC","MWC"
"179-47",1,"Wyoming","UNLV","MWC","MWC"
"179-48",0,"UNLV","Wyoming","MWC","MWC"
"179-49",0,"UNLV","Wyoming","MWC","MWC"
"179-50",0,"UNLV","Wyoming","MWC","MWC"
"179-51",0,"Wyoming","UNLV","MWC","MWC"
"179-52",1,"Wyoming","UNLV","MWC","MWC"
"179-53",0,"Wyoming","UNLV","MWC","MWC"
"179-54",0,"Wyoming","UNLV","MWC","MWC"
"179-55",0,"UNLV","Wyoming","MWC","MWC"
"179-56",0,"Wyoming","UNLV","MWC","MWC"
"179-57",0,"Wyoming","UNLV","MWC","MWC"
"180-1",0,"Auburn","Alabama","SEC","SEC"
"180-3",0,"Alabama","Auburn","SEC","SEC"
"180-4",0,"Auburn","Alabama","SEC","SEC"
"180-6",1,"Auburn","Alabama","SEC","SEC"
"180-8",1,"Auburn","Alabama","SEC","SEC"
"180-9",1,"Auburn","Alabama","SEC","SEC"
"180-11",0,"Auburn","Alabama","SEC","SEC"
"180-12",0,"Auburn","Alabama","SEC","SEC"
"180-13",1,"Auburn","Alabama","SEC","SEC"
"180-15",0,"Alabama","Auburn","SEC","SEC"
"180-16",0,"Alabama","Auburn","SEC","SEC"
"180-17",0,"Auburn","Alabama","SEC","SEC"
"180-18",0,"Auburn","Alabama","SEC","SEC"
"180-21",0,"Alabama","Auburn","SEC","SEC"
"180-22",0,"Auburn","Alabama","SEC","SEC"
"180-23",0,"Alabama","Auburn","SEC","SEC"
"180-24",0,"Auburn","Alabama","SEC","SEC"
"180-26",1,"Alabama","Auburn","SEC","SEC"
"180-31",1,"Auburn","Alabama","SEC","SEC"
"180-32",1,"Auburn","Alabama","SEC","SEC"
"180-34",1,"Alabama","Auburn","SEC","SEC"
"180-35",0,"Alabama","Auburn","SEC","SEC"
"180-36",1,"Auburn","Alabama","SEC","SEC"
"180-39",0,"Auburn","Alabama","SEC","SEC"
"180-42",0,"Auburn","Alabama","SEC","SEC"
"180-43",0,"Alabama","Auburn","SEC","SEC"
"180-44",0,"Auburn","Alabama","SEC","SEC"
"180-45",1,"Alabama","Auburn","SEC","SEC"
"180-46",0,"Alabama","Auburn","SEC","SEC"
"180-47",0,"Auburn","Alabama","SEC","SEC"
"180-48",0,"Auburn","Alabama","SEC","SEC"
"180-49",1,"Auburn","Alabama","SEC","SEC"
"180-51",0,"Auburn","Alabama","SEC","SEC"
"180-53",0,"Auburn","Alabama","SEC","SEC"
"181-2",0,"Creighton","Connecticut","BigEast","BigEast"
"181-3",0,"Connecticut","Creighton","BigEast","BigEast"
"181-5",0,"Connecticut","Creighton","BigEast","BigEast"
"181-7",0,"Connecticut","Creighton","BigEast","BigEast"
"181-8",0,"Connecticut","Creighton","BigEast","BigEast"
"181-9",0,"Connecticut","Creighton","BigEast","BigEast"
"181-11",0,"Connecticut","Creighton","BigEast","BigEast"
"181-13",0,"Connecticut","Creighton","BigEast","BigEast"
"181-14",0,"Creighton","Connecticut","BigEast","BigEast"
"181-15",0,"Creighton","Connecticut","BigEast","BigEast"
"181-16",0,"Creighton","Connecticut","BigEast","BigEast"
"181-17",0,"Creighton","Connecticut","BigEast","BigEast"
"181-19",0,"Connecticut","Creighton","BigEast","BigEast"
"181-24",1,"Connecticut","Creighton","BigEast","BigEast"
"181-26",1,"Connecticut","Creighton","BigEast","BigEast"
"181-27",0,"Creighton","Connecticut","BigEast","BigEast"
"181-29",0,"Creighton","Connecticut","BigEast","BigEast"
"181-30",1,"Creighton","Connecticut","BigEast","BigEast"
"181-31",1,"Creighton","Connecticut","BigEast","BigEast"
"181-33",0,"Creighton","Connecticut","BigEast","BigEast"
"181-34",0,"Connecticut","Creighton","BigEast","BigEast"
"181-35",0,"Creighton","Connecticut","BigEast","BigEast"
"181-36",0,"Connecticut","Creighton","BigEast","BigEast"
"181-37",0,"Connecticut","Creighton","BigEast","BigEast"
"181-38",0,"Creighton","Connecticut","BigEast","BigEast"
"181-39",0,"Connecticut","Creighton","BigEast","BigEast"
"181-41",1,"Connecticut","Creighton","BigEast","BigEast"
"181-44",0,"Connecticut","Creighton","BigEast","BigEast"
"181-45",1,"Connecticut","Creighton","BigEast","BigEast"
"181-46",1,"Connecticut","Creighton","BigEast","BigEast"
"181-47",1,"Connecticut","Creighton","BigEast","BigEast"
"181-48",0,"Creighton","Connecticut","BigEast","BigEast"
"181-49",1,"Creighton","Connecticut","BigEast","BigEast"
"181-50",1,"Connecticut","Creighton","BigEast","BigEast"
"181-51",0,"Connecticut","Creighton","BigEast","BigEast"
"181-52",1,"Connecticut","Creighton","BigEast","BigEast"
"181-53",0,"Connecticut","Creighton","BigEast","BigEast"
"181-54",0,"Connecticut","Creighton","BigEast","BigEast"
"181-58",0,"Creighton","Connecticut","BigEast","BigEast"
"181-59",1,"Connecticut","Creighton","BigEast","BigEast"
"181-60",0,"Creighton","Connecticut","BigEast","BigEast"
"181-61",0,"Connecticut","Creighton","BigEast","BigEast"
"181-62",1,"Connecticut","Creighton","BigEast","BigEast"
"182-1",0,"Duke","Virginia","ACC","ACC"
"182-3",1,"Duke","Virginia","ACC","ACC"
"182-4",0,"Duke","Virginia","ACC","ACC"
"182-5",0,"Virginia","Duke","ACC","ACC"
"182-6",0,"Virginia","Duke","ACC","ACC"
"182-7",1,"Duke","Virginia","ACC","ACC"
"182-8",0,"Virginia","Duke","ACC","ACC"
"182-9",0,"Virginia","Duke","ACC","ACC"
"182-10",0,"Duke","Virginia","ACC","ACC"
"182-12",1,"Duke","Virginia","ACC","ACC"
"182-13",0,"Duke","Virginia","ACC","ACC"
"182-15",0,"Virginia","Duke","ACC","ACC"
"182-16",1,"Virginia","Duke","ACC","ACC"
"182-17",0,"Duke","Virginia","ACC","ACC"
"182-21",0,"Duke","Virginia","ACC","ACC"
"182-22",1,"Duke","Virginia","ACC","ACC"
"182-23",0,"Virginia","Duke","ACC","ACC"
"182-24",0,"Virginia","Duke","ACC","ACC"
"182-25",0,"Duke","Virginia","ACC","ACC"
"182-26",1,"Duke","Virginia","ACC","ACC"
"182-28",0,"Duke","Virginia","ACC","ACC"
"182-29",0,"Virginia","Duke","ACC","ACC"
"182-30",0,"Duke","Virginia","ACC","ACC"
"182-31",0,"Duke","Virginia","ACC","ACC"
"182-32",1,"Duke","Virginia","ACC","ACC"
"182-33",1,"Virginia","Duke","ACC","ACC"
"182-34",0,"Virginia","Duke","ACC","ACC"
"182-35",1,"Virginia","Duke","ACC","ACC"
"182-36",0,"Duke","Virginia","ACC","ACC"
"182-39",0,"Virginia","Duke","ACC","ACC"
"182-40",0,"Virginia","Duke","ACC","ACC"
"182-41",0,"Virginia","Duke","ACC","ACC"
"182-43",0,"Virginia","Duke","ACC","ACC"
"182-45",0,"Duke","Virginia","ACC","ACC"
"183-1",0,"Florida","Vanderbilt","SEC","SEC"
"183-2",0,"Florida","Vanderbilt","SEC","SEC"
"183-3",1,"Vanderbilt","Florida","SEC","SEC"
"183-5",0,"Vanderbilt","Florida","SEC","SEC"
"183-7",0,"Vanderbilt","Florida","SEC","SEC"
"183-8",0,"Florida","Vanderbilt","SEC","SEC"
"183-10",0,"Florida","Vanderbilt","SEC","SEC"
"183-11",1,"Vanderbilt","Florida","SEC","SEC"
"183-12",1,"Florida","Vanderbilt","SEC","SEC"
"183-14",0,"Florida","Vanderbilt","SEC","SEC"
"183-15",0,"Vanderbilt","Florida","SEC","SEC"
"183-16",0,"Florida","Vanderbilt","SEC","SEC"
"183-18",0,"Florida","Vanderbilt","SEC","SEC"
"183-20",0,"Florida","Vanderbilt","SEC","SEC"
"183-21",0,"Vanderbilt","Florida","SEC","SEC"
"183-22",0,"Vanderbilt","Florida","SEC","SEC"
"183-23",0,"Vanderbilt","Florida","SEC","SEC"
"183-27",0,"Vanderbilt","Florida","SEC","SEC"
"183-28",1,"Florida","Vanderbilt","SEC","SEC"
"183-29",0,"Florida","Vanderbilt","SEC","SEC"
"183-30",0,"Vanderbilt","Florida","SEC","SEC"
"183-33",0,"Vanderbilt","Florida","SEC","SEC"
"183-34",0,"Vanderbilt","Florida","SEC","SEC"
"183-35",0,"Vanderbilt","Florida","SEC","SEC"
"183-37",1,"Vanderbilt","Florida","SEC","SEC"
"183-38",1,"Florida","Vanderbilt","SEC","SEC"
"183-41",0,"Vanderbilt","Florida","SEC","SEC"
"183-43",0,"Florida","Vanderbilt","SEC","SEC"
"183-45",0,"Florida","Vanderbilt","SEC","SEC"
"183-47",0,"Florida","Vanderbilt","SEC","SEC"
"183-48",0,"Florida","Vanderbilt","SEC","SEC"
"183-51",0,"Florida","Vanderbilt","SEC","SEC"
"183-52",0,"Vanderbilt","Florida","SEC","SEC"
"183-53",1,"Florida","Vanderbilt","SEC","SEC"
"183-58",0,"Florida","Vanderbilt","SEC","SEC"
"183-59",1,"Florida","Vanderbilt","SEC","SEC"
"183-60",0,"Florida","Vanderbilt","SEC","SEC"
"184-2",0,"San Diego St.","UNLV","MWC","MWC"
"184-3",1,"San Diego St.","UNLV","MWC","MWC"
"184-4",0,"UNLV","San Diego St.","MWC","MWC"
"184-5",0,"UNLV","San Diego St.","MWC","MWC"
"184-7",1,"San Diego St.","UNLV","MWC","MWC"
"184-8",0,"UNLV","San Diego St.","MWC","MWC"
"184-9",0,"UNLV","San Diego St.","MWC","MWC"
"184-10",0,"UNLV","San Diego St.","MWC","MWC"
"184-11",1,"San Diego St.","UNLV","MWC","MWC"
"184-14",0,"UNLV","San Diego St.","MWC","MWC"
"184-15",1,"UNLV","San Diego St.","MWC","MWC"
"184-16",0,"UNLV","San Diego St.","MWC","MWC"
"184-17",0,"UNLV","San Diego St.","MWC","MWC"
"184-18",1,"San Diego St.","UNLV","MWC","MWC"
"184-19",0,"San Diego St.","UNLV","MWC","MWC"
"184-20",0,"UNLV","San Diego St.","MWC","MWC"
"184-21",0,"San Diego St.","UNLV","MWC","MWC"
"184-22",0,"San Diego St.","UNLV","MWC","MWC"
"184-24",1,"San Diego St.","UNLV","MWC","MWC"
"184-26",1,"San Diego St.","UNLV","MWC","MWC"
"184-27",1,"San Diego St.","UNLV","MWC","MWC"
"184-28",1,"UNLV","San Diego St.","MWC","MWC"
"184-30",0,"UNLV","San Diego St.","MWC","MWC"
"184-31",0,"UNLV","San Diego St.","MWC","MWC"
"184-32",0,"UNLV","San Diego St.","MWC","MWC"
"184-36",0,"UNLV","San Diego St.","MWC","MWC"
"184-38",1,"UNLV","San Diego St.","MWC","MWC"
"184-39",1,"San Diego St.","UNLV","MWC","MWC"
"184-41",0,"UNLV","San Diego St.","MWC","MWC"
"184-42",0,"UNLV","San Diego St.","MWC","MWC"
"184-44",0,"San Diego St.","UNLV","MWC","MWC"
"184-45",1,"UNLV","San Diego St.","MWC","MWC"
"184-46",1,"San Diego St.","UNLV","MWC","MWC"
"184-48",0,"UNLV","San Diego St.","MWC","MWC"
"185-3",0,"West Virginia","Texas","Big 12","Big 12"
"185-4",0,"Texas","West Virginia","Big 12","Big 12"
"185-6",0,"West Virginia","Texas","Big 12","Big 12"
"185-8",0,"West Virginia","Texas","Big 12","Big 12"
"185-9",1,"West Virginia","Texas","Big 12","Big 12"
"185-10",1,"Texas","West Virginia","Big 12","Big 12"
"185-11",1,"Texas","West Virginia","Big 12","Big 12"
"185-12",1,"Texas","West Virginia","Big 12","Big 12"
"185-13",0,"Texas","West Virginia","Big 12","Big 12"
"185-14",1,"West Virginia","Texas","Big 12","Big 12"
"185-15",1,"West Virginia","Texas","Big 12","Big 12"
"185-16",0,"West Virginia","Texas","Big 12","Big 12"
"185-18",0,"West Virginia","Texas","Big 12","Big 12"
"185-20",0,"Texas","West Virginia","Big 12","Big 12"
"185-22",0,"West Virginia","Texas","Big 12","Big 12"
"185-23",0,"Texas","West Virginia","Big 12","Big 12"
"185-24",0,"West Virginia","Texas","Big 12","Big 12"
"185-25",1,"Texas","West Virginia","Big 12","Big 12"
"185-27",1,"Texas","West Virginia","Big 12","Big 12"
"185-28",0,"West Virginia","Texas","Big 12","Big 12"
"185-30",0,"Texas","West Virginia","Big 12","Big 12"
"185-31",1,"Texas","West Virginia","Big 12","Big 12"
"185-33",0,"Texas","West Virginia","Big 12","Big 12"
"185-37",0,"West Virginia","Texas","Big 12","Big 12"
"185-38",0,"Texas","West Virginia","Big 12","Big 12"
"185-41",0,"Texas","West Virginia","Big 12","Big 12"
"185-42",0,"West Virginia","Texas","Big 12","Big 12"
"185-46",0,"West Virginia","Texas","Big 12","Big 12"
"185-47",0,"West Virginia","Texas","Big 12","Big 12"
"185-48",0,"West Virginia","Texas","Big 12","Big 12"
"185-49",1,"Texas","West Virginia","Big 12","Big 12"
"185-51",0,"Texas","West Virginia","Big 12","Big 12"
"185-52",0,"Texas","West Virginia","Big 12","Big 12"
"185-53",0,"Texas","West Virginia","Big 12","Big 12"
"185-54",1,"West Virginia","Texas","Big 12","Big 12"
"185-55",0,"Texas","West Virginia","Big 12","Big 12"
"185-57",0,"West Virginia","Texas","Big 12","Big 12"
"185-58",0,"West Virginia","Texas","Big 12","Big 12"
"185-61",0,"West Virginia","Texas","Big 12","Big 12"
"185-62",0,"Texas","West Virginia","Big 12","Big 12"
"186-1",1,"Texas Tech","Texas","Big 12","Big 12"
"186-2",1,"Texas Tech","Texas","Big 12","Big 12"
"186-3",1,"Texas Tech","Texas","Big 12","Big 12"
"186-4",1,"Texas","Texas Tech","Big 12","Big 12"
"186-6",0,"Texas Tech","Texas","Big 12","Big 12"
"186-8",0,"Texas","Texas Tech","Big 12","Big 12"
"186-9",0,"Texas Tech","Texas","Big 12","Big 12"
"186-10",0,"Texas Tech","Texas","Big 12","Big 12"
"186-11",0,"Texas","Texas Tech","Big 12","Big 12"
"186-12",0,"Texas","Texas Tech","Big 12","Big 12"
"186-13",0,"Texas","Texas Tech","Big 12","Big 12"
"186-14",0,"Texas","Texas Tech","Big 12","Big 12"
"186-17",0,"Texas","Texas Tech","Big 12","Big 12"
"186-18",0,"Texas Tech","Texas","Big 12","Big 12"
"186-19",0,"Texas","Texas Tech","Big 12","Big 12"
"186-22",0,"Texas","Texas Tech","Big 12","Big 12"
"186-23",0,"Texas","Texas Tech","Big 12","Big 12"
"186-24",0,"Texas","Texas Tech","Big 12","Big 12"
"186-29",1,"Texas","Texas Tech","Big 12","Big 12"
"186-30",0,"Texas","Texas Tech","Big 12","Big 12"
"186-31",0,"Texas","Texas Tech","Big 12","Big 12"
"186-32",0,"Texas","Texas Tech","Big 12","Big 12"
"186-33",0,"Texas Tech","Texas","Big 12","Big 12"
"186-35",1,"Texas","Texas Tech","Big 12","Big 12"
"186-36",0,"Texas Tech","Texas","Big 12","Big 12"
"186-37",1,"Texas Tech","Texas","Big 12","Big 12"
"186-38",0,"Texas Tech","Texas","Big 12","Big 12"
"186-39",0,"Texas Tech","Texas","Big 12","Big 12"
"186-40",0,"Texas","Texas Tech","Big 12","Big 12"
"186-42",1,"Texas Tech","Texas","Big 12","Big 12"
"186-44",0,"Texas Tech","Texas","Big 12","Big 12"
"186-45",0,"Texas","Texas Tech","Big 12","Big 12"
"186-47",0,"Texas Tech","Texas","Big 12","Big 12"
"186-49",0,"Texas Tech","Texas","Big 12","Big 12"
"186-50",0,"Texas","Texas Tech","Big 12","Big 12"
"186-53",0,"Texas","Texas Tech","Big 12","Big 12"
"186-54",0,"Texas","Texas Tech","Big 12","Big 12"
"186-55",1,"Texas Tech","Texas","Big 12","Big 12"
"186-56",0,"Texas Tech","Texas","Big 12","Big 12"
"186-58",1,"Texas","Texas Tech","Big 12","Big 12"
"186-59",0,"Texas","Texas Tech","Big 12","Big 12"
"187-2",0,"Auburn","Missouri","SEC","SEC"
"187-3",0,"Missouri","Auburn","SEC","SEC"
"187-5",0,"Missouri","Auburn","SEC","SEC"
"187-7",0,"Auburn","Missouri","SEC","SEC"
"187-11",1,"Auburn","Missouri","SEC","SEC"
"187-14",0,"Missouri","Auburn","SEC","SEC"
"187-16",0,"Auburn","Missouri","SEC","SEC"
"187-18",0,"Missouri","Auburn","SEC","SEC"
"187-20",1,"Missouri","Auburn","SEC","SEC"
"187-22",0,"Auburn","Missouri","SEC","SEC"
"187-23",0,"Missouri","Auburn","SEC","SEC"
"187-24",0,"Auburn","Missouri","SEC","SEC"
"187-26",1,"Missouri","Auburn","SEC","SEC"
"187-27",0,"Auburn","Missouri","SEC","SEC"
"187-30",0,"Missouri","Auburn","SEC","SEC"
"187-31",1,"Auburn","Missouri","SEC","SEC"
"187-32",0,"Missouri","Auburn","SEC","SEC"
"187-34",0,"Missouri","Auburn","SEC","SEC"
"187-35",0,"Missouri","Auburn","SEC","SEC"
"187-38",1,"Auburn","Missouri","SEC","SEC"
"187-39",0,"Missouri","Auburn","SEC","SEC"
"187-40",1,"Auburn","Missouri","SEC","SEC"
"187-41",0,"Missouri","Auburn","SEC","SEC"
"187-42",0,"Missouri","Auburn","SEC","SEC"
"187-43",0,"Auburn","Missouri","SEC","SEC"
"187-44",1,"Missouri","Auburn","SEC","SEC"
"187-45",0,"Missouri","Auburn","SEC","SEC"
"187-46",0,"Missouri","Auburn","SEC","SEC"
"187-47",1,"Auburn","Missouri","SEC","SEC"
"187-48",0,"Auburn","Missouri","SEC","SEC"
"187-49",0,"Auburn","Missouri","SEC","SEC"
"187-50",0,"Missouri","Auburn","SEC","SEC"
"187-51",0,"Missouri","Auburn","SEC","SEC"
"187-53",0,"Missouri","Auburn","SEC","SEC"
"187-54",0,"Missouri","Auburn","SEC","SEC"
"187-55",0,"Auburn","Missouri","SEC","SEC"
"187-56",1,"Auburn","Missouri","SEC","SEC"
"187-58",1,"Missouri","Auburn","SEC","SEC"
"187-61",0,"Auburn","Missouri","SEC","SEC"
"187-62",0,"Missouri","Auburn","SEC","SEC"
"187-63",0,"Missouri","Auburn","SEC","SEC"
"187-64",0,"Auburn","Missouri","SEC","SEC"
"187-65",1,"Auburn","Missouri","SEC","SEC"
"187-66",1,"Missouri","Auburn","SEC","SEC"
"187-67",1,"Auburn","Missouri","SEC","SEC"
"187-68",0,"Auburn","Missouri","SEC","SEC"
"187-69",0,"Missouri","Auburn","SEC","SEC"
"188-2",0,"Creighton","Providence","BigEast","BigEast"
"188-3",0,"Providence","Creighton","BigEast","BigEast"
"188-4",0,"Providence","Creighton","BigEast","BigEast"
"188-7",0,"Creighton","Providence","BigEast","BigEast"
"188-8",0,"Creighton","Providence","BigEast","BigEast"
"188-11",0,"Providence","Creighton","BigEast","BigEast"
"188-12",0,"Creighton","Providence","BigEast","BigEast"
"188-13",0,"Providence","Creighton","BigEast","BigEast"
"188-15",0,"Creighton","Providence","BigEast","BigEast"
"188-16",0,"Creighton","Providence","BigEast","BigEast"
"188-17",1,"Providence","Creighton","BigEast","BigEast"
"188-18",0,"Creighton","Providence","BigEast","BigEast"
"188-19",0,"Providence","Creighton","BigEast","BigEast"
"188-21",0,"Providence","Creighton","BigEast","BigEast"
"188-22",0,"Creighton","Providence","BigEast","BigEast"
"188-23",0,"Providence","Creighton","BigEast","BigEast"
"188-24",1,"Providence","Creighton","BigEast","BigEast"
"188-26",0,"Creighton","Providence","BigEast","BigEast"
"188-28",0,"Providence","Creighton","BigEast","BigEast"
"188-29",0,"Providence","Creighton","BigEast","BigEast"
"188-30",1,"Creighton","Providence","BigEast","BigEast"
"188-31",0,"Creighton","Providence","BigEast","BigEast"
"188-35",0,"Creighton","Providence","BigEast","BigEast"
"188-36",0,"Providence","Creighton","BigEast","BigEast"
"188-37",0,"Creighton","Providence","BigEast","BigEast"
"188-38",0,"Providence","Creighton","BigEast","BigEast"
"188-39",0,"Providence","Creighton","BigEast","BigEast"
"188-40",0,"Creighton","Providence","BigEast","BigEast"
"188-41",0,"Providence","Creighton","BigEast","BigEast"
"188-42",0,"Providence","Creighton","BigEast","BigEast"
"188-44",0,"Creighton","Providence","BigEast","BigEast"
"188-45",0,"Providence","Creighton","BigEast","BigEast"
"188-46",0,"Creighton","Providence","BigEast","BigEast"
"188-47",0,"Providence","Creighton","BigEast","BigEast"
"188-48",0,"Providence","Creighton","BigEast","BigEast"
"188-49",0,"Creighton","Providence","BigEast","BigEast"
"188-50",0,"Creighton","Providence","BigEast","BigEast"
"188-51",0,"Providence","Creighton","BigEast","BigEast"
"188-55",1,"Providence","Creighton","BigEast","BigEast"
"188-56",1,"Providence","Creighton","BigEast","BigEast"
"188-57",0,"Creighton","Providence","BigEast","BigEast"
"188-59",0,"Creighton","Providence","BigEast","BigEast"
"188-61",0,"Creighton","Providence","BigEast","BigEast"
"188-62",0,"Creighton","Providence","BigEast","BigEast"
"188-63",0,"Creighton","Providence","BigEast","BigEast"
"188-65",0,"Creighton","Providence","BigEast","BigEast"
"189-1",0,"Notre Dame","Duke","ACC","ACC"
"189-3",0,"Duke","Notre Dame","ACC","ACC"
"189-4",0,"Duke","Notre Dame","ACC","ACC"
"189-5",0,"Duke","Notre Dame","ACC","ACC"
"189-6",0,"Notre Dame","Duke","ACC","ACC"
"189-7",0,"Notre Dame","Duke","ACC","ACC"
"189-8",0,"Duke","Notre Dame","ACC","ACC"
"189-9",0,"Notre Dame","Duke","ACC","ACC"
"189-10",0,"Duke","Notre Dame","ACC","ACC"
"189-11",0,"Notre Dame","Duke","ACC","ACC"
"189-13",0,"Notre Dame","Duke","ACC","ACC"
"189-14",0,"Notre Dame","Duke","ACC","ACC"
"189-18",0,"Notre Dame","Duke","ACC","ACC"
"189-19",1,"Duke","Notre Dame","ACC","ACC"
"189-20",0,"Duke","Notre Dame","ACC","ACC"
"189-21",1,"Notre Dame","Duke","ACC","ACC"
"189-22",0,"Duke","Notre Dame","ACC","ACC"
"189-23",0,"Duke","Notre Dame","ACC","ACC"
"189-24",0,"Notre Dame","Duke","ACC","ACC"
"189-25",0,"Duke","Notre Dame","ACC","ACC"
"189-29",0,"Notre Dame","Duke","ACC","ACC"
